DEBUG:root:3939 IH 35, SAN MARCOS, TX 78666
DEBUG:root:205 NB, SAN MARCOS, TX 78666
DEBUG:root:301 TELLURIDE ST, SAN MARCOS, TX 78666
DEBUG:root:1235 MLK DR, SAN MARCOS, TX 78666
DEBUG:root:1740 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:102 AUTUMN CV, SAN MARCOS, TX 78666
DEBUG:root:1600 IH 35, SAN MARCOS, TX 78666
DEBUG:root:2131 IH 35, SAN MARCOS, TX 78666
DEBUG:root:WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:1908 NEVADA ST, SAN MARCOS, TX 78666
DEBUG:root:737 GRAVEL ST, SAN MARCOS, TX 78666
DEBUG:root:1600 IH 35, SAN MARCOS, TX 78666
DEBUG:root:1401 MCCARTY LN, SAN MARCOS, TX 78666
DEBUG:root:1908 NEVADA ST, SAN MARCOS, TX 78666
DEBUG:root:208 NB, SAN MARCOS, TX 78666
DEBUG:root:413 ARMSTRONG ST, SAN MARCOS, TX 78666
DEBUG:root:1351 SADLER DR, SAN MARCOS, TX 78666
DEBUG:root:729 OSCAR SMITH ST, SAN MARCOS, TX 78666
DEBUG:root:1600 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666
DEBUG:root:1004 HWY 123, SAN MARCOS, TX 78666
DEBUG:root:400 BARNES DR, SAN MARCOS, TX 78666
DEBUG:root:ELLIS ST, SAN MARCOS, TX 78666
DEBUG:root:1019 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:W SESSOM DR, SAN MARCOS, TX 78666
DEBUG:root:500 PARKER DR, SAN MARCOS, TX 78666
DEBUG:root:1001 FRANKLIN DR, SAN MARCOS, TX 78666
DEBUG:root:402 BROADWAY ST, SAN MARCOS, TX 78666
DEBUG:root:205 SB, SAN MARCOS, TX 78666
DEBUG:root:206 NB, SAN MARCOS, TX 78666
DEBUG:root:205 NB, SAN MARCOS, TX 78666
DEBUG:root:201 NB, SAN MARCOS, TX 78666
DEBUG:root:EXIT 205 SB, SAN MARCOS, TX 78666
DEBUG:root:201 NB, SAN MARCOS, TX 78666
DEBUG:root:204 NB, SAN MARCOS, TX 78666
DEBUG:root:209 SB, SAN MARCOS, TX 78666
DEBUG:root:209 SB, SAN MARCOS, TX 78666
DEBUG:root:209 SB, SAN MARCOS, TX 78666
DEBUG:root:208 NB, SAN MARCOS, TX 78666
DEBUG:root:205 SB, SAN MARCOS, TX 78666
DEBUG:root:208 SB, SAN MARCOS, TX 78666
DEBUG:root:205 NB, SAN MARCOS, TX 78666
DEBUG:root:201 SB, SAN MARCOS, TX 78666
DEBUG:root:206 NB, SAN MARCOS, TX 78666
DEBUG:root:202 NB, SAN MARCOS, TX 78666
DEBUG:root:1600 IH 35, SAN MARCOS, TX 78666
DEBUG:root:100 WARDEN LN, SAN MARCOS, TX 78666
DEBUG:root:215 FRIENDSHIP OAK DR, SAN MARCOS, TX 78666
DEBUG:root:124 SPRING RD, SAN MARCOS, TX 78666
DEBUG:root:1841 AIRPORT DR, SAN MARCOS, TX 78666
DEBUG:root:210 WILSON ST, SAN MARCOS, TX 78666
DEBUG:root:1408 HIGHLAND DR, SAN MARCOS, TX 78666
DEBUG:root:106 CHARLES AUSTIN DR, SAN MARCOS, TX 78666
DEBUG:root:500 PARKER DR, SAN MARCOS, TX 78666
DEBUG:root:2301 IH 35, SAN MARCOS, TX 78666
